:ID;pageCount:string;title:string;volumeNo:int;publishedYear:int
12753;1017-1028;Fast Algorithms for Online Generation of Profile Association Rules.;14;2002
12754;1727-1740;On Power Law Growth of Social Networks.;30;2018
12755;1478-1490;A Unifying Framework of Mining Trajectory Patterns of Various Temporal Tightness.;27;2015
12756;2900-2913;A Unifying Framework for Mining Approximate Top- \(k\) Binary Patterns.;26;2014
12757;17-27;The Indispensability of Dispensable Indexes.;11;1999
12758;1507-1518;Link Weight Prediction Using Supervised Learning Methods and Its Application to Yelp Layered Network.;30;2018
12759;1051-1064;A Probabilistic Model for Mining Labeled Ordered Trees: Capturing Patterns in Carbohydrate Sugar Chains.;17;2005
12760;1205-1217;Development of a Software Engineering Ontology for Multisite Software Development.;21;2009
12761;831-844;Workload-Based Ordering of Multi-Dimensional Data.;28;2016
12762;245-260;Transform-Space View: Performing Spatial Join in the Transform Space Using Original-Space Indexes.;18;2006
12763;1613-1623;Evaluating Tag-Based Preference Obfuscation Systems.;24;2012
12764;1585-1589;Semisupervised Query Expansion with Minimal Feedback.;19;2007
12765;1573-1587;Improving Stability of Recommender Systems: A Meta-Algorithmic Approach.;27;2015
12766;1873-1886;Locality Reconstruction Models for Book Representation.;30;2018
12767;225-237;An Efficient Evaluation of a Fuzzy Equi-Join Using Fuzzy Equality Indicators.;12;2000
12769;1520-1535;Shape Sensitive Geometric Monitoring.;24;2012
12770;472-481;A Transaction Mapping Algorithm for Frequent Itemsets Mining.;18;2006
12771;1097-1110;Optimal Route Queries with Arbitrary Order Constraints.;25;2013
12772;458-476;Techniques for Update Handling in the Enhanced Client-Server DBMS.;10;1998
12773;1959-1970;Access Time Oracle for Planar Graphs.;28;2016
12774;1649-1667;Kernelized Fuzzy Rough Sets and Their Applications.;23;2011
12775;1259-1275;Energy-Efficient Reverse Skyline Query Processing over Wireless Sensor Networks.;24;2012
12776;1311-1321;Kernel Uncorrelated and Regularized Discriminant Analysis: A Theoretical and Computational Study.;20;2008
12777;477-492;Performance Analysis of Three Text-Join Algorithms.;10;1998
12778;56-66;Wizard: A Database Inference Analysis and Detection System.;8;1996
12779;629-641;P-AutoClass: Scalable Parallel Clustering for Mining Large Data Sets.;15;2003
12780;1605-1618;Classification Under Streaming Emerging New Classes: A Solution Using Completely-Random Trees.;29;2017
12781;2120-2137;Clustering-Based Ensembles as an Alternative to Stacking.;26;2014
12782;63-78;Indexing and Retrieval for Genomic Databases.;14;2002
12783;1876-1888;Increasing Retrieval Quality in Conversational Recommenders.;24;2012
12784;1781-1794;Finding Top-k Answers in Keyword Search over Relational Databases Using Tuple Units.;23;2011
12785;671-685;CSVD: Clustering and Singular Value Decomposition for Approximate Similarity Search in High-Dimensional Spaces.;15;2003
12786;503-507;Towards the Correctness and Consistency of Update Semantics in Semantic Database Schema.;8;1996
12787;988-1001;Clustering with Multiviewpoint-Based Similarity Measure.;24;2012
12788;2665-2680;ML-FOREST: A Multi-Label Tree Ensemble Method for Multi-Label Classification.;28;2016
12789;353-368;Solving Constraint Optimization Problems from CLP-Style Specifications Using Heuristic Search Techniques.;14;2002
12790;395-415;Constructing the Dependency Structure of a Multiagent Probabilistic Network.;13;2001
12791;2312-2325;Dynamic Data Exchange in Distributed RDF Stores.;30;2018
12792;784-797;Efficient Sub-Window Nearest Neighbor Search on Matrix.;29;2017
12793;508-511;An Optimal Resource Scheduler for Continuous Display of Structured Video Objects.;8;1996
12794;813-830;Survey on Aspect-Level Sentiment Analysis.;28;2016
12795;492-505;Measuring the Sky: On Computing Data Cubes via Skylining the Measures.;24;2012
12796;28-35;State of the Art in Parallel Search Techniques for Discrete Optimization Problems.;11;1999
12797;1861-1874;Automatic Taxonomy Construction from Keywords via Scalable Bayesian Rose Trees.;27;2015
12798;3190-3202;Association Discovery in Two-View Data.;27;2015
12799;599-612;Efficient Distance-Aware Influence Maximization in Geo-Social Networks.;29;2017
12800;556-570;Extending BCDM to Cope with Proposals and Evaluations of Updates.;25;2013
12801;945-958;A Divide-and-Conquer Approach for Minimum Spanning Tree-Based Clustering.;21;2009
12802;1669-1682;Efficient Processing of Top-k Queries in Uncertain Databases with x-Relations.;20;2008
12803;641-652;Text Clustering with Feature Selection by Using Statistical Data.;20;2008
12804;1409-1410; A Comment on   Cross-Platform Identification of Anonymous Identical Users in Multiple Social Media Networks  . ;30;2018
12805;52-64;Rule-Based Consistency Enforcement for Knowledge-Based Systems.;5;1993
12806;824-837;Parsimonious Topic Models with Salient Word Discovery.;27;2015
12807;1370-1383;Collaboratively Training Sentiment Classifiers for Multiple Domains.;29;2017
12808;1577-1592;A Novel Combination of Answer Set Programming with Description Logics for the Semantic Web.;22;2010
12809;447-461;Compression, Clustering, and Pattern Discovery in Very High-Dimensional Discrete-Attribute Data Sets.;17;2005
12810;1368-1379;Radio Database Compression for Accurate Energy-Efficient Localization in Fingerprinting Systems.;25;2013
12811;2581-2600;Time Series Management Systems: A Survey.;29;2017
12812;574-589;Delay Compensation Protocols for Synchronization of Multimedia Data Streams.;5;1993
12813;78-88;An Approach to Knowledge Acquisition Based on the Structure of Personal Construct Systems.;3;1991
12814;214-228;Adaptive Cost-Sensitive Online Classification.;31;2019
12815;415-431;SEAM: A State-Entity-Activity-Model for a Well-Defined Workflow Development Methodology.;14;2002
12816;177-185;Generalization by Neural Networks.;4;1992
12817;1082-1090;Sensor-Based Abnormal Human-Activity Detection.;20;2008
12818;135-144;The Science of Making ERORS: What Error Tolerance Implies for Capacity in Neural Networks.;4;1992
12819;255-270;Rewriting Rules To Permeate Complex Similarity and Fuzzy Queries within a Relational Database System.;17;2005
12820;758-777;Indexing Animated Objects Using Spatiotemporal Access Methods.;13;2001
12821;1521-1531;I/O-Efficient Bundled Range Aggregation.;26;2014
12822;1247-1262;QA-Pagelet: Data Preparation Techniques for Large-Scale Data Analysis of the Deep Web.;17;2005
12823;1-22;System Guided View Integration for Object-Oriented Databases.;4;1992
12824;1261-1273;k-Nearest Neighbor Classification over Semantically Secure Encrypted Relational Data.;27;2015
12825;371-384;Predicting Consumption Patterns with Repeated and Novel Events.;31;2019
12826;1496-1506;Learning Multi-Instance Deep Ranking and Regression Network for Visual House Appraisal.;30;2018
12827;1132-1146;Collective Travel Planning in Spatial Networks.;28;2016
12828;1524-1540;Wildcard Search in Structured Peer-to-Peer Networks.;19;2007
12829;2051-2064;BEATS: Blocks of Eigenvalues Algorithm for Time Series Segmentation.;30;2018
12830;1425-1438;The Move-Split-Merge Metric for Time Series.;25;2013
12831;455-469;Reasoning About Equations and Functional Dependencies on Complex Objects.;6;1994
12832;1460-1470;Anomaly Detection via Online Oversampling Principal Component Analysis.;25;2013
12833;1233-1248;Batch Mode Active Learning with Applications to Text Categorization and Image Retrieval.;21;2009
12834;271-294;Uniform Techniques for Deriving Similarities of Objects and Subschemes in Heterogeneous Databases.;15;2003
12835;945-953;DBMS Support for Nonmetric Measurement Systems.;6;1994
12836;638-651;Effectively Mining and Using Coverage and Overlap Statistics for Data Integration.;17;2005
12837;3-15;A Comparative Study of Implementation Techniques for Query Processing in Multicore Systems.;26;2014
12838;561-574;Stacked Robust Adaptively Regularized Auto-Regressions for Domain Adaptation.;31;2019
12839;530-543;Mining Precise-Positioning Episode Rules from Event Sequences.;30;2018
12840;1025-1035;Locally Discriminative Coclustering.;24;2012
12841;415-429;Combining Feature Reduction and Case Selection in Building CBR Classifiers.;18;2006
12842;1035-1049;KEMB: A Keyword-Based XML Message Broker.;23;2011
12843;563-576;Volume Leases for Consistency in Large-Scale Systems.;11;1999
12844;1950-1962;An Information-Preserving Watermarking Scheme for Right Protection of EMR Systems.;24;2012
12845;436-453;G-Log: A Graph-Based Query Language.;7;1995
12846;1889-1903;Joint Top-K Spatial Keyword Query Processing.;24;2012
12847;1088-1098;Literature Extraction of Protein Functions Using Sentence Pattern Mining.;17;2005
12848;500-513;A Meta-Top-Down Method for Large-Scale Hierarchical Classification.;26;2014
12849;41-55;Mining Web Informative Structures and Contents Based on Entropy Analysis.;16;2004
12850;380-383;Evaluating Keyword Selection Methods for WEBSOM Text Archives.;16;2004
12851;1556-1569;Distributed Line Graphs: A Universal Technique for Designing DHTs Based on Arbitrary Regular Graphs.;24;2012
12852;1225-1239;Random Projection Random Discretization Ensembles - Ensembles of Linear Multivariate Decision Trees.;26;2014
12853;2629-2642;A Non-Parametric Algorithm for Discovering Triggering Patterns of Spatio-Temporal Event Types.;29;2017
12854;83-96;Consensus-Based Ranking of Multivalued Objects: A Generalized Borda Count Approach.;26;2014
12855;1033-1040;Spatio-Temporal Composition of Video Objects: Representation and Querying in Video Database Systems.;13;2001
12856;258-274;View Integration: A Step Forward in Solving Structural Conflicts.;6;1994
12857;493-508;TAPER: A Two-Step Approach for All-Strong-Pairs Correlation Query in Large Databases.;18;2006
12858;407-420;Automatic Segmentation of Dynamic Network Sequences with Node Labels.;30;2018
12859;72-78;Representation of Qualitative User Preference by Quantitative Belief Functions.;6;1994
12860;785-786;Guest Editors' Introduction: Special Section on Peer-to-Peer-Based Data Management.;16;2004
12861;145-155;Development of a Class of Distributed Termination Detection Algorithms.;4;1992
12862;243-256;Bring Order into the Samples: A Novel Scalable Method for Influence Maximization.;29;2017
12863;2065-2079;Redistricting Using Constrained Polygonal Clustering.;24;2012
12864;969-982;Deriving Concept-Based User Profiles from Search Engine Logs.;22;2010
12865;887-902;Enhancing the Effectiveness of Clustering with Spectra Analysis.;19;2007
12866;1615-1628;Non-Negative Matrix Factorization with Auxiliary Information on Overlapping Groups.;27;2015
12867;351-365;Efficient Processing of Metric Skyline Queries.;21;2009
12868;1083-1096;On Generalizable Low False-Positive Learning Using Asymmetric Support Vector Machines.;25;2013
12869;84-88;Ontological Versus Knowledge Engineering.;1;1989
12870;396-407;An Approach to Novelty Detection Applied to the Classification of Image Regions.;16;2004
12871;545-550;Guest Editors' Introduction: Multimedia Information Systems.;5;1993
12872;651-659;Confidence Interval for F;27;2015
12873;170-179;Malware Propagation in Large-Scale Networks.;27;2015
12874;2052-2064;Rank Entropy-Based Decision Trees for Monotonic Classification.;24;2012
12875;909-921;An LSH-Based Blocking Approach with a Homomorphic Matching Technique for Privacy-Preserving Record Linkage.;27;2015
12876;16-30;Density Conscious Subspace Clustering for High-Dimensional Data.;22;2010
12877;774-785;SMCA: A General Model for Mining Asynchronous Periodic Patterns in Temporal Databases.;17;2005
12878;532-546;Watermill: An Optimized Fingerprinting System for Databases under Constraints.;20;2008
12879;305-323;Toward an Accurate Analysis of Range Queries on Spatial Data.;15;2003
12880;166-174;Rule-Induction and Case-Based Reasoning: Hybrid Architectures Appear Advantageous.;11;1999
12881;293-309;The Post-Game Analysis Framework - Developing Resource Management Strategies for Concurrent Systems.;1;1989
12882;63-83;Trends in Cooperative Distributed Problem Solving.;1;1989
12883;1;Editorial: State of the Transactions.;16;2004
12884;225-239;Parsing Electronic Circuits in a Logic Grammar.;5;1993
12885;880-893;Cluster Kernels: Resource-Aware Kernel Density Estimators over Streaming Data.;20;2008
12886;2199-2212;Rule-Based Entity Resolution on Database with Hidden Temporal Information.;30;2018
12887;2645-2657;CRoM and HuspExt: Improving Efficiency of High Utility Sequential Pattern Extraction.;27;2015
12888;1190-1196;The Presumed-Either Two-Phase Commit Protocol.;14;2002
12889;174-186;Design and Analysis of an Integrated Checkpointing Recovery Scheme for Distributed Applications.;12;2000
12890;2325-2342;On Co-Scheduling of Update and Control Transactions in Real-Time Sensing and Control Systems: Algorithms, Analysis, and Performance.;25;2013
12891;3013-3027;Integrating Topic and Latent Factors for Scalable Personalized Review-based Rating Prediction.;28;2016
12892;1932-1945;Learning Predictive Choice Models for Decision Optimization.;26;2014
12893;624-638;Building a Rule-Based Classifier—A Fuzzy-Rough Set Approach.;22;2010
12894;1-2;Guest Editors' Introduction Enabling Technology for Knowledge-Based Systems Development.;3;1991
12895;1307-1315;Cascade of Distributed and Cooperating Firewalls in a Secure Data Network.;15;2003
12896;179-185;Alternating Hashing for Expansible Files.;9;1997
12897;526-548;An Approach to Mobile Software Robots for the WWW.;11;1999
12898;352-360;Data Semantics for Improving Retrieval Performance of Digital News Video Systems.;13;2001
12899;695-704;Adaptive Structuring of Binary Search Trees Using Conditional Rotations.;5;1993
12900;950-961;Efficient Monitoring Algorithm for Fast News Alerts.;19;2007
12901;973-984;In-Place Reconstruction of Version Differences.;15;2003
12902;1563-1576;A Deductive Spreadsheet System for End Users.;22;2010
12903;1201-1215;Continuous Detour Queries in Spatial Networks.;24;2012
12904;329-335;Experience with Rule Induction and k-Nearest Neighbor Methods for Interface Agents that Learn.;9;1997
12905;239-247;Using Tries to Eliminate Pattern Collisions in Perfect Hashing.;6;1994
12906;2367-2380;Set Reconciliation via Counting Bloom Filters.;25;2013
12907;2036-2048;Generative Models for Item Adoptions Using Social Correlation.;25;2013
12908;76-87;Relational Database Systems with Zero Information Loss.;5;1993
12909;2307-2322;Side-Effect Estimation: A Filtering Approach to the View Update Problem.;26;2014
12910;799-812;A Temporal Pattern Search Algorithm for Personal History Event Visualization.;24;2012
12911;345-354;K-Means+ID3: A Novel Method for Supervised Anomaly Detection by Cascading K-Means Clustering and ID3 Decision Tree Learning Methods.;19;2007
12912;285-289;The ROSE Data Manager: Using Object Technology to Support Interactive Engineering Applications.;1;1989
12913;1212-1225;Keyword Search over Distributed Graphs with Compressed Signature.;29;2017
12914;1904-1915;The Adaptive Clustering Method for the Long Tail Problem of Recommender Systems.;25;2013
12915;721-735;C-TREND: Temporal Cluster Graphs for Identifying and Visualizing Trends in Multiattribute Transactional Data.;20;2008
12916;1711-1725;Using Graphics Processors for High Performance SimRank Computation.;24;2012
12917;5-6;Guest Editorial Introduction to the Special Section on the 16th International Conference on Data Engineering.;13;2001
12918;851-861;Scalable Color Image Indexing and Retrieval Using Vector Wavelets.;13;2001
12919;537-549;Efficient Algorithm for Localized Support Vector Machine.;22;2010
12920;1053-1062;A Myopic Approach to OrderingNodes for Parameter Elicitationin Bayesian Belief Networks.;26;2014
12921;73-84;Online Random Shuffling of Large Database Tables.;19;2007
12922;442-456;Determining Semantic Similarity among Entity Classes from Different Ontologies.;15;2003
12923;1624-1637;Document Clustering Using Locality Preserving Indexing.;17;2005
12924;743-756;Advanced Block Nested Loop Join for Extending SSD Lifetime.;29;2017
12925;641-652;Moving E-Commerce with PIVOTS: Private Information Viewing Offering Total Safety.;16;2004
12926;597-612;Delta Abstractions: A Technique for Managing Database States in Runtime Debugging of Active Database Rules.;15;2003
12927;1997-2009;Benchmarking Data Exchange among Semantic-Web Ontologies.;25;2013
12928;862;Correction to 'Integrating Security and Real-Time Requirements Using Covert Channel Capacity'.;13;2001
12929;831-844;Automatic Discovery of Personal Name Aliases from the Web.;23;2011
12930;2756-2769;Joint Structural Learning to Rank with Deep Linear Feature Learning.;27;2015
12931;1279-1296;Efficient Phrase-Based Document Indexing for Web Document Clustering.;16;2004
12932;706-720;Persistently Cached B-Trees.;15;2003
12933;411-424;Cross-Platform Identification of Anonymous Identical Users in Multiple Social Media Networks.;28;2016
12934;1368-1381;An Effective and Efficient Exact Match Retrieval Scheme for Symbolic Image Database Systems Based on Spatial Reasoning: A Logarithmic Search Time Approach.;18;2006
12935;577-590;A Variational Bayesian Framework for Clustering with Multiple Graphs.;24;2012
12936;415-427;Detecting, Assessing and Monitoring Relevant Topics in Virtual Information Environments.;21;2009
12937;2166-2178;Dynamic Query Forms for Database Queries.;26;2014
12938;1054-1055;Security of Tzeng's Time-Bound Key Assignment Scheme for Access Control in a Hierarchy.;15;2003
12939;3409-3422;Visual Assessment of Clustering Tendency for Incomplete Data.;28;2016
12940;303-320;Resource Scheduling In A High-Performance Multimedia Server.;11;1999
12941;96-111;On the 'Dimensionality Curse' and the 'Self-Similarity Blessing'.;13;2001
12942;582-594;Progressive Parametric Query Optimization.;21;2009
12943;56-63;Techniques and Systems for Image and Video Retrieval.;11;1999
12944;1429-1434;On Weight Design of Maximum Weighted Likelihood and an Extended EM Algorithm.;18;2006
12945;955-978;A Graphical Query Language: VISUAL and Its Query Processing.;14;2002
12946;3113-3125;Secure Data Deduplication with Dynamic Ownership Management in Cloud Storage.;28;2016
12947;1585-1599;Regression Cubes with Lossless Compression and Aggregation.;18;2006
12948;415-420;Learning by Discovering Problem Solving Heuristics Through Experience.;3;1991
12949;1299-1313;Patch Alignment for Dimensionality Reduction.;21;2009
12950;1126-1141;Maintaining Recursive Views of Regions and Connectivity in Networks.;22;2010
12951;153-172;A Highly Effective Partition Selection Policy for Object Database Garbage Collection.;10;1998
12952;177-191;Ranking on Data Manifold with Sink Points.;25;2013
12953;688-695;Spatial Join Processing Using Corner Transformation.;11;1999
12954;285-304;An Object-Oriented Database System Jasmine: Implementation, Application, and Extension.;8;1996
12955;599-614;ACIRD: Intelligent Internet Document Organization and Retrieval.;14;2002
12956;8-23;Capture, Integration, and Analysis of Digital System Requirements with Conceptual Graphs.;9;1997
12957;1321-1332;An Evaluation of the Robustness of MTS for Imbalanced Data.;19;2007
12958;729-740;NATERGM: A Model for Examining the Role of Nodal Attributes in Dynamic Social Media Networks.;28;2016
12959;929-942;Bregman Divergence-Based Regularization for Transfer Subspace Learning.;22;2010
12960;297-309;A Requirements Driven Framework for Benchmarking Semantic Web Knowledge Base Systems.;19;2007
12961;559-571;A System for Approximate Tree Matching.;6;1994
12962;1;State of the Transactions Editorial.;22;2010
12963;1-14;A Fast Clustering-Based Feature Subset Selection Algorithm for High-Dimensional Data.;25;2013
12964;425-438;Efficiently Estimating Statistics of Points of Interests on Maps.;28;2016
12965;1795-1810;Efficient Keyword-Based Search for Top-K Cells in Text Cube.;23;2011
12966;2179-2192;Efficient Determination of Distance Thresholds for Differential Dependencies.;26;2014
12967;523-536;On the Design and Applicability of Distance Functions in High-Dimensional Data Space.;21;2009
12968;847-858;Credible Case-Based Inference Using Similarity Profiles.;19;2007
12969;663-671;An Architectural Framework for CKBS Applications.;8;1996
12970;759-772;Clustering and Sequential Pattern Mining of Online Collaborative Learning Data.;21;2009
12971;523-527;Discovery of Context-Specific Ranking Functions for Effective Information Retrieval Using Genetic Programming.;16;2004
12972;685-700;THESUS, a Closer View on Web Content Management Enhanced with Link Semantics.;16;2004
12973;448-463;Default Logic as a Query Language.;9;1997
12974;1026-1037;Privacy-Preserving Distributed Mining of Association Rules on Horizontally Partitioned Data.;16;2004
12975;3309-3323;Learning Label-Specific Features and Class-Dependent Labels for Multi-Label Classification.;28;2016
12976;711-729;Parallelizing Itinerary-Based KNN Query Processing in Wireless Sensor Networks.;22;2010
12977;331-336;A Generalized Definition of Rough Approximations Based on Similarity.;12;2000
12978;1560-1574;Quality-Aware Subgraph Matching Over Inconsistent Probabilistic Graph Databases.;28;2016
12979;731-749;Finding Patterns in Three-Dimensional Graphs: Algorithms and Applications to Scientific Data Mining.;14;2002
12980;1128-1142;Workflow Mining: Discovering Process Models from Event Logs.;16;2004
12981;326-337;On the Spectral Characterization and Scalable Mining of Network Communities.;24;2012
12982;391-409;An Efficient Multiversion Access STructure.;9;1997
12983;877-893;High-Order Pattern Discovery from Discrete-Valued Data.;9;1997
12984;174-191;Query Merging: Improving Query Subscription Processing in a Multicast Environment.;15;2003
12985;1692-1705;Managing Evolving Uncertainty in Trajectory Databases.;26;2014
12986;1158-1175;Query Processing Using Distance Oracles for Spatial Networks.;22;2010
12987;229-242;An Efficient Semi-Supervised Multi-label Classifier Capable of Handling Missing Labels.;31;2019
12988;850-866;Using OODB Modeling to Partition a Vocabulary in Structurally and Semantically Uniform Concept Groups.;14;2002
12989;408-417;Image Retrieval Using Multiple Evidence Ranking.;16;2004
12990;645-659;Bidding Machine: Learning to Bid for Directly Optimizing Profits in Display Advertising.;30;2018
12991;1974-1988;Online Discovery of Gathering Patterns over Trajectories.;26;2014
12992;1356-1368;A Simple Message-Optimal Algorithm for Random Sampling from a Distributed Stream.;28;2016
12993;1537-1555;A Survey of Indexing Techniques for Scalable Record Linkage and Deduplication.;24;2012
12994;57-63;A Computationally Tractable Nonmonotonic Logic.;6;1994
12996;220-230;Extensions to SQL for Historical Databases.;2;1990
12997;1533-1547;Enhancing Access Privacy of Range Retrievals over (𝔹;25;2013
12998;759-771;Peer-to-Peer in Metric Space and Semantic Space.;19;2007
12999;925-938;An Implementation of the CORDRA Architecture Enhanced for Systematic Reuse of Learning Objects.;21;2009
13000;2758-2771;Scalable Graph-Based Semi-Supervised Learning through Sparse Bayesian Model.;29;2017
13001;764-769;Closed Constrained Gradient Mining in Retail Databases.;18;2006
13002;1000-1013;P2P Reputation Management Using Distributed Identities and Decentralized Recommendation Chains.;22;2010
13003;499-508;Dealing with the Expert Inconsistency in Probability Elicitation.;12;2000
13004;1801-1813;Harnessing Folksonomies to Produce a Social Classification of Resources.;25;2013
13005;283-296;A Semantic Web-Based Approach to Knowledge Management for Grid Applications.;19;2007
13006;1536-1548;Query Expansion with Enriched User Profiles for Personalized Search Utilizing Folksonomy Data.;29;2017
13007;742-757;Minimizing Bandwidth Requirements for On-Demand Data Delivery.;13;2001
13008;1110-1125;Adaptive Join Operators for Result Rate Optimization on Streaming Inputs.;22;2010
13009;1273-1281;Cooperative Media Data Streaming with Scalable Video Coding.;20;2008
13010;1312-1327;Heuristics-Based Query Processing for Large RDF Graphs Using Cloud Computing.;23;2011
13011;336-349;Facilitating Document Annotation Using Content and Querying Value.;26;2014
13012;763-778;Analysis and Comparison of Declustering Schemes for Interactive Navigation Queries.;12;2000
13013;799-812;Resilient and Coherence Preserving Dissemination of Dynamic Data Using Cooperating Peers.;16;2004
13014;658-672;An Alternative Paradigm for Scalable On-Demand Applications: Evaluating and Deploying the Interactive Multimedia Jukebox.;11;1999
13015;1284-1296;Mobile Advertising in Capacitated Wireless Networks.;18;2006
13016;465-478;Detecting Pickpocket Suspects from Large-Scale Public Transit Records.;31;2019
13017;2326-2339;Ensemble Learning for Multi-Type Classification in Heterogeneous Networks.;30;2018
13018;912-925;Organizing User Search Histories.;24;2012
13019;1254-1263;Recommendation Method for Improving Customer Lifetime Value.;20;2008
13020;1186-1189;An Object-Oriented Fuzzy Data Model for Similarity Detection in Image Databases.;14;2002
13021;839-853;Signaling Potential Adverse Drug Reactions from Administrative Health Databases.;22;2010
13022;866-879;Efficient and Scalable Integrity Verification of Data and Query Results for Graph Databases.;30;2018
13023;232-235;A Scalable Approach to Integrating Heterogeneous Aggregate Views of Distributed Databases.;15;2003
13024;188-201;Integrating K-Means Clustering with a Relational DBMS Using SQL.;18;2006
13025;298-310;AML: Efficient Approximate Membership Localization within a Web-Based Join Framework.;25;2013
13026;1010-1027;Protecting Respondents' Identities in Microdata Release.;13;2001
13027;261-266;Analysis of the Probability of Transaction Abort and Throughput of Two Timestamp Ordering Algorithms for Database Systems.;3;1991
13028;220-232;T-Drive: Enhancing Driving Directions with Taxi Drivers' Intelligence.;25;2013
13029;577-594;WebCompanion: A Friendly Client-Side Web Prefetching Agent.;11;1999
13030;600-624;A Transparent Schema-Evolution System Based on Object-Oriented View Technology.;9;1997
13031;1087-1100;Knowledge Base Semantic Integration Using Crowdsourcing.;29;2017
13032;108-119;Coherence Approach to Logic Program Revision.;10;1998
13033;515-528;Clustering Data Streams: Theory and Practice.;15;2003
13034;1042-1058;Active Integrity Constraints for Database Consistency Maintenance.;21;2009
13035;1748-1759;Dirichlet Process Mixture Model for Document Clustering with Feature Partition.;25;2013
13036;1324-1337;Sampling and Reconstruction Using Bloom Filters.;30;2018
13037;337-341;Incremental Recomputation of Active Relational Expressions.;3;1991
13038;1369-1382;Reverse Nearest Neighbors in Unsupervised Distance-Based Outlier Detection.;27;2015
13039;1-3;Foreword - Knowledge and Data Engineering: An Outlook.;1;1989
13040;1588-1601;Indexing Earth Mover's Distance over Network Metrics.;27;2015
13041;2823-2840;Measuring Similarity Based on Link Information: A Comparative Study.;25;2013
13042;385-400;Supergraph Search in Graph Databases via Hierarchical Feature-Tree.;31;2019
13043;3203-3216;Citation Networks and the Emergence of Knowledge Core.;27;2015
13044;106-120;Improving Availability and Performance with Application-Specific Data Replication.;17;2005
13045;1299-1311;MAP-JOIN-REDUCE: Toward Scalable and Efficient Data Analysis on Large Clusters.;23;2011
13046;659-665;An Instance-Weighting Method to Induce Cost-Sensitive Trees.;14;2002
13047;619-633;DDD: A New Ensemble Approach for Dealing with Concept Drift.;24;2012
13048;1472-1486;An Efficient Technique for Nearest-Neighbor Query Processing on the SPY-TEC.;15;2003
13049;1208-1222;IDR/QR: An Incremental Dimension Reduction Algorithm via QR Decomposition.;17;2005
13050;2236-2248;Manifold Learning by Curved Cosine Mapping.;29;2017
13051;371-388;Dictionary: A New Access Method for Query Processing in Object-Oriented Databases.;10;1998
13052;2494-2506;Efficient Cluster Labeling for Support Vector Clustering.;25;2013
13053;665-677;Video Data Mining: Semantic Indexing and Event Detection from the Association Perspective.;17;2005
13054;1544-1559;Hierarchical Indexing Structure for Efficient Similarity Search in Video Retrieval.;18;2006
13055;496-509;Efficient Indexing Methods for Temporal Relations.;5;1993
13056;1670-1678;Federation in Cloud Data Management: Challenges and Opportunities.;26;2014
13057;798-811;Logic-Based Pattern Discovery.;22;2010
13058;808-822;Active Learning without Knowing Individual Instance Labels: A Pairwise Label Homogeneity Query Approach.;26;2014
13059;1444-1458;Nearest Surrounder Queries.;22;2010
13060;1513-1525;Exact Top-K Queries in Wireless Sensor Networks.;23;2011
13061;1749-1762;Occurrence-Oriented Design Strategy for Developing Business Process Monitoring Systems.;26;2014
13062;424-432;Moving Selections into Linear Least Fixpoint Queries.;1;1989
13063;985-1001;Performance Analysis of Dynamic Finite Versioning Schemes: Storage Cost vs. Obsolescence.;8;1996
13064;1388-1405;Efficient Algorithms for Summarizing Graph Patterns.;23;2011
13065;44-62;The Gamma Database Machine Project.;2;1990
13067;1162-1166;SAX Discretization Does Not Guarantee Equiprobable Symbols.;27;2015
13068;1288-1300;LINQ: A Framework for Location-Aware Indexing and Query Processing.;27;2015
13069;2283-2301;Incremental Learning of Concept Drift from Streaming Imbalanced Data.;25;2013
13070;219-231;Incremental Syntactic Parsing of Natural Language Corpora with Simple Synchrony Networks.;13;2001
13071;558-570;Tweet Segmentation and Its Application to Named Entity Recognition.;27;2015
13072;196-210;Socio-Spatial Group Queries for Impromptu Activity Planning.;28;2016
13073;1015-1027;Efficient All Top-$(k)$ Computation - A Unified Solution for All Top-$(k)$, Reverse Top-$(k)$ and Top-$(m)$ Influential Queries.;25;2013
13074;961-972;External Sorting: Run Formation Revisited.;15;2003
13075;4-23;A Generalized Temporal Role-Based Access Control Model.;17;2005
13076;1172-1185;Analyzing Sentiments in One Go: A Supervised Joint Topic Modeling Approach.;29;2017
13077;620-633;An Approach to Designing Very Fast Approximate String Matching Algorithms.;6;1994
13078;1621-1634;Aggregating Crowdsourced Quantitative Claims: Additive and Multiplicative Models.;28;2016
13079;2697-2708;On Learning of Choice Models with Interactive Attributes.;28;2016
13080;1161-1174;Continuous Clustering of Moving Objects.;19;2007
13081;338-354;A Hybrid Estimator for Selectivity Estimation.;11;1999
13083;127-132;Agents in a Nutshell - A Very Brief Introduction.;11;1999
13084;1589-1601;Structured Dimensionality Reduction for Additive Model Regression.;28;2016
13085;509-516;Main Memory Database Systems: An Overview.;4;1992
13086;1562-1574;A Flexible Approach to Finding Representative Pattern Sets.;26;2014
13087;1005-1007;Reducing the Storage Requirements of a Perfect Hash Function.;10;1998
13088;281-289;Frame-Sliced Signature Files.;4;1992
13089;320-333;Effective and Efficient Dimensionality Reduction for Large-Scale and Streaming Data Preprocessing.;18;2006
13090;2349-2361;Effective Classification Using a Small Training Set Based on Discretization and Statistical Analysis.;27;2015
13091;2027-2040;Deep Learning of Transferable Representation for Scalable Domain Adaptation.;28;2016
13092;801-812;Subspace Based Network Community Detection Using Sparse Linear Coding.;28;2016
